,trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,startTimeSeconds,stopTimeSeconds,timeDelta
4504401,9575014,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:56:00,2016-05-17 09:10:00,14.0,48.9,cloudy,322,Kimbark Ave & 53rd St,41.799568,-87.594747,19.0,322,Kimbark Ave & 53rd St,41.799568,-87.594747,19.0,32160.0,33000.0,840.0
4504402,9575013,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:56:00,2016-05-17 09:03:00,7.55,48.9,cloudy,112,Green St & Randolph St,41.883668,-87.64867,15.0,100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,23.0,32160.0,32580.0,420.0
4504403,9575011,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:56:00,2016-05-17 09:08:00,12.416666666666664,48.9,cloudy,53,Wells St & Huron St,41.894729,-87.633775,19.0,174,Canal St & Madison St,41.882090999999996,-87.639833,27.0,32160.0,32880.0,720.0
4504404,9575010,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:56:00,2016-05-17 09:17:00,21.7,48.9,cloudy,294,Broadway & Berwyn Ave,41.97835300000001,-87.65975300000002,15.0,177,Theater on the Lake,41.926277,-87.630834,23.0,32160.0,33420.0,1260.0
4504405,9575009,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:56:00,2016-05-17 09:06:00,10.266666666666667,48.9,cloudy,144,Larrabee St & Webster Ave,41.921822,-87.64414000000002,15.0,48,Larrabee St & Kingsbury St,41.897764,-87.642884,27.0,32160.0,32760.0,600.0
4504406,9575008,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:55:00,2016-05-17 09:08:00,13.266666666666667,48.9,cloudy,29,Noble St & Milwaukee Ave,41.90068,-87.6626,15.0,174,Canal St & Madison St,41.882090999999996,-87.639833,27.0,32100.0,32880.0,780.0
4504407,9575007,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:13:00,17.65,48.9,cloudy,225,Halsted St & Dickens Ave,41.919936,-87.64883,15.0,191,Canal St & Monroe St (*),41.880884,-87.639525,23.0,32100.0,33180.0,1080.0
4504408,9575006,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:55:00,2016-05-17 08:59:00,4.116666666666666,48.9,cloudy,56,Desplaines St & Kinzie St,41.888715999999995,-87.644448,27.0,212,Orleans St & Ohio St,41.892154,-87.636928,23.0,32100.0,32340.0,240.0
4504409,9575005,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:02:00,7.066666666666666,48.9,cloudy,91,Clinton St & Washington Blvd,41.883379999999995,-87.64116999999996,31.0,40,LaSalle St & Adams St,41.879344,-87.631985,15.0,32100.0,32520.0,420.0
4504410,9575003,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 08:58:00,3.066666666666667,48.9,cloudy,239,Western Ave & Leland Ave,41.966555,-87.688487,19.0,243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15.0,32100.0,32280.0,180.0
4504411,9575001,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:14:00,19.183333333333334,48.9,cloudy,166,Ashland Ave & Wrightwood Ave,41.92883,-87.66850699999998,15.0,198,Green St & Madison St,41.881892,-87.64878900000002,19.0,32100.0,33240.0,1140.0
4504412,9575000,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 08:58:00,3.433333333333333,48.9,cloudy,299,Halsted St & Roscoe St,41.943670000000004,-87.64895,15.0,117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23.0,32100.0,32280.0,180.0
4504413,9574999,2016,5,20,1,8,Subscriber,Female,2016-05-17 08:55:00,2016-05-17 09:10:00,14.833333333333336,48.9,cloudy,241,Morgan St & Polk St,41.871736999999996,-87.65103,15.0,98,LaSalle St & Washington St,41.882664,-87.63253,15.0,32100.0,33000.0,900.0
4504414,9574998,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:03:00,7.65,48.9,cloudy,255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,31.0,37,Dearborn St & Adams St,41.879356,-87.629791,19.0,32100.0,32580.0,480.0
4504415,9574997,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 08:59:00,4.5,48.9,cloudy,209,Normal Ave & Archer Ave,41.849527,-87.640591,11.0,120,Wentworth Ave & Archer Ave,41.853605,-87.631886,23.0,32100.0,32340.0,240.0
4504416,9574996,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:02:00,7.45,48.9,cloudy,188,Greenview Ave & Fullerton Ave,41.925329999999995,-87.6658,15.0,67,Sheffield Ave & Fullerton Ave,41.92560200000001,-87.653708,19.0,32100.0,32520.0,420.0
4504417,9574995,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 09:06:00,11.133333333333333,48.9,cloudy,282,Halsted St & Maxwell St,41.864883,-87.647071,15.0,317,Wood St & Taylor St,41.869153999999995,-87.67104499999998,23.0,32100.0,32760.0,660.0
4504418,9574994,2016,5,20,1,8,Subscriber,Male,2016-05-17 08:55:00,2016-05-17 08:57:00,2.65,48.9,cloudy,198,Green St & Madison St,41.881892,-87.64878900000002,19.0,96,Desplaines St & Randolph St,41.884615999999994,-87.644571,23.0,32100.0,32220.0,120.0
